Qatar	58.5	33.4	24.7	61.9	58.6	46.7	43.5	40.7	41.2	44.6	37.8	45.4
Curacao	..	..	..	..	..	..	..	..	..	39.4	33.9	37.7
Trinidad and Tobago	15.6	17.7	13.9	13.6	18.8	33.7	34.0	36.1	35.2	33.9	34.5	34.2
Kuwait	18.0	16.8	24.3	34.0	26.1	31.2	31.0	29.9	28.5	30.1	27.3	25.2
Bahrain	21.9	24.3	25.1	26.3	28.1	26.7	23.8	23.6	22.4	20.5	23.8	23.4
United Arab Emirates	35.4	35.9	28.0	28.8	35.7	22.8	21.9	19.4	19.1	19.8	19.0	23.3
Brunei Darussalam	35.5	11.6	23.9	16.1	14.1	24.0	20.5	21.1	24.6	24.2	19.2	22.1
Saudi Arabia	17.4	13.1	11.4	12.6	14.3	16.6	17.6	18.9	17.7	19.4	18.1	19.5
Sint Maarten (Dutch part)	..	..	..	..	..	..	..	..	..	20.1	19.5	19.5
Luxembourg	30.3	25.0	26.2	20.4	18.9	22.4	20.9	21.6	21.1	20.1	18.5	17.4
United States	20.8	18.9	19.3	19.3	20.2	18.5	17.2	17.4	17.0	16.3	16.3	16.5
New Caledonia	14.3	9.4	9.3	10.7	10.5	11.8	12.1	14.2	14.3	14.0	16.1	16.0
Gibraltar	2.9	1.5	4.9	9.1	10.7	13.0	14.0	14.0	13.5	13.7	14.5	15.5
Australia	15.0	15.3	15.5	15.6	17.2	18.2	18.2	17.7	17.5	17.1	16.1	15.4
Oman	5.2	5.8	6.3	7.2	9.7	15.5	14.3	15.6	16.7	17.1	16.5	15.4
Canada	18.0	16.3	15.7	15.9	17.4	16.9	16.0	15.7	15.6	14.9	14.7	15.1
Estonia	..	..	..	12.2	10.6	13.1	10.9	13.6	14.0	13.3	15.1	14.8
Kazakhstan	..	..	..	10.7	7.9	14.9	13.3	15.2	15.6	14.5	15.4	14.4
Turkmenistan	..	..	..	8.1	8.3	11.5	10.1	11.3	12.1	12.3	12.4	12.5
Palau	12.9	11.8	15.6	13.6	13.0	12.5	12.1	12.4	12.3	12.2	12.3	12.3
Faroe Islands	9.7	11.3	14.9	12.4	14.6	13.0	11.9	13.0	11.7	12.1	13.9	12.2
Russian Federation	..	..	..	11.0	10.6	12.0	11.0	11.7	12.3	12.8	12.4	11.9
Korea, Rep.	3.5	4.4	5.8	8.3	9.5	10.3	10.3	11.4	11.8	11.6	11.7	11.6
Singapore	13.0	12.2	14.6	12.0	12.2	7.5	11.2	11.0	8.7	6.8	10.3	10.3
Netherlands	12.5	10.2	10.6	11.6	10.9	10.8	10.4	11.0	10.4	10.2	10.3	9.9
Japan	8.1	7.6	8.9	9.4	9.6	9.4	8.6	9.1	9.3	9.6	9.8	9.5
Norway	9.3	9.8	7.4	7.7	8.8	11.7	11.5	12.3	9.1	9.9	11.5	9.3
Cayman Islands	10.0	9.9	10.0	11.5	11.2	11.0	10.3	10.0	10.4	9.3	9.2	9.2
Czech Republic	..	..	..	12.0	12.1	11.2	10.3	10.7	10.2	9.6	9.4	9.2
Libya	8.4	8.1	8.3	9.3	8.8	9.3	9.5	10.0	6.4	8.5	9.1	9.2
Greenland	11.2	9.6	10.0	9.0	9.5	11.7	10.2	11.7	12.4	10.0	9.8	9.0
South Africa	7.7	9.6	8.3	8.6	8.3	9.9	9.9	9.2	9.0	8.8	8.7	9.0
Germany	..	..	..	10.6	10.1	9.5	8.8	9.3	9.1	9.2	9.4	8.9
Bermuda	8.0	7.9	8.5	8.9	8.4	9.9	7.3	9.3	6.9	7.4	7.1	8.8
Finland	12.2	10.1	10.4	10.3	10.1	10.6	10.0	11.6	10.5	9.1	8.7	8.7
Aruba	..	..	26.4	20.8	26.2	26.2	25.9	24.7	24.5	13.2	8.4	8.4
